Year,ID,Location,Station,Month,Inches of Precipitation
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,FEB,2.89
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,MAR,1.36
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,APR,0.87
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,MAY,0.62
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,JUN,0.02
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,JUL,0
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,AUG,0
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,SEP,0.05
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,OCT,0.36
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,NOV,4.79
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,DEC,5.9
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,JAN,2.52
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,FEB,1.47
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,MAR,1.74
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,APR,2.41
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,MAY,1.15
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,JUN,0.11
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,JUL,0.01
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,AUG,0
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,SEP,0.2
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,OCT,5.13
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,NOV,10.3
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,DEC,12.72
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,JAN,11.48
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,FEB,4.99
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,MAR,6.32
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,APR,5.49
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,MAY,1.14
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,JUN,2.22
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,JUL,0.4
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,AUG,0.2
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,SEP,2.13
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,OCT,0.19
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,NOV,4.16
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,DEC,4.34
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,JAN,1.59
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,FEB,1.65
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,MAR,1.33
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,APR,1.49
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,MAY,0.53
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,JUN,0.03
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,JUL,0.08
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,AUG,0
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,SEP,0.54
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,OCT,4.45
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,NOV,10.25
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,DEC,14.1
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,JAN,15.79
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,FEB,4.14
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,MAR,6.67
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,APR,4.56
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,MAY,1.48
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,JUN,1.42
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,JUL,0.01
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,AUG,0.22
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,SEP,1.33
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,OCT,1.78
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,NOV,7.17
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,DEC,9.1
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,JAN,5.86
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,FEB,3.45
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,MAR,3.51
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,APR,2.88
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,MAY,0.65
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,JUN,0.34
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,JUL,0.03
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,AUG,0
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,SEP,0.82
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,OCT,1.02
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,NOV,6.84
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,DEC,6.71
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,JAN,4.81
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,FEB,2.76
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,MAR,1.71
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,APR,1.23
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,MAY,1.3
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,JUN,0.26
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,JUL,0.02
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,AUG,0
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,SEP,0.24
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,OCT,1.91
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,NOV,6.88
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,DEC,6.65
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,JAN,4.83
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,FEB,2.4
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,MAR,0.85
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,APR,1.54
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,MAY,1.13
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,JUN,0.19
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,JUL,0
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,AUG,0
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,SEP,0.32
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,OCT,0.28
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,NOV,5.13
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,DEC,5.75
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,JAN,5.75
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,FEB,3.03
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,MAR,2.9
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,APR,1.63
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,MAY,1.08
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,JUN,0.07
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,JUL,0.01
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,AUG,0
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,SEP,0.2
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,OCT,3.23
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,NOV,7.45
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,DEC,9.59
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,JAN,6.94
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,FEB,3.54
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,MAR,4.06
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,APR,3.31
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,MAY,1.22
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,JUN,1.17
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,JUL,0.04
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,AUG,0.02
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,SEP,1.99
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,OCT,1.66
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,NOV,7.37
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,DEC,7.39
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,JAN,5.32
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,FEB,2.77
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,MAR,2.93
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,APR,1.46
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,MAY,1.29
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,JUN,0.25
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,JUL,0
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,AUG,0.08
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,SEP,0.65
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,OCT,0.4
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,NOV,7.11
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,DEC,7.98
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,JAN,7.98
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,FEB,2.68
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,MAR,2.68
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,APR,1.79
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,MAY,0.46
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,JUN,0
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,JUL,0
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,AUG,0
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,SEP,0.08
2002,DNON2,DENIO,OREGON CLOSED BASINS,OCT,0.25
2002,DNON2,DENIO,OREGON CLOSED BASINS,NOV,1.54
2002,DNON2,DENIO,OREGON CLOSED BASINS,DEC,1.37
2002,DNON2,DENIO,OREGON CLOSED BASINS,JAN,0.69
2002,DNON2,DENIO,OREGON CLOSED BASINS,FEB,0.91
2002,DNON2,DENIO,OREGON CLOSED BASINS,MAR,0.56
2002,DNON2,DENIO,OREGON CLOSED BASINS,APR,0.83
2002,DNON2,DENIO,OREGON CLOSED BASINS,MAY,0.15
2002,DNON2,DENIO,OREGON CLOSED BASINS,JUN,0.12
2002,DNON2,DENIO,OREGON CLOSED BASINS,JUL,0
2002,DNON2,DENIO,OREGON CLOSED BASINS,AUG,0.08
2002,DNON2,DENIO,OREGON CLOSED BASINS,SEP,0.53
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,OCT,0.34
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,NOV,1.37
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,DEC,0.61
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,JAN,0.67
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,FEB,0.63
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,MAR,0.72
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,APR,1.45
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,MAY,0.6
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,JUN,0.66
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,JUL,0
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,AUG,0.15
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,SEP,0.57
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,OCT,0.29
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,NOV,2.09
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,DEC,1.16
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,JAN,0.4
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,FEB,0.52
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,MAR,0.37
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,APR,1.24
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,MAY,0.73
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,JUN,0.58
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,JUL,0.04
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,AUG,0.08
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,SEP,0.25
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,OCT,0.47
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,NOV,2.68
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,DEC,2.19
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,JAN,0.79
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,FEB,0.69
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,MAR,0.32
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,APR,1.3
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,MAY,0.3
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,JUN,0.13
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,JUL,0.09
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,AUG,0.23
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,SEP,0.45
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,OCT,0.18
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,NOV,0.98
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,DEC,1.47
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,JAN,0.59
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,FEB,0.5
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,MAR,0.26
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,APR,0.68
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,MAY,0.09
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,JUN,0.75
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,JUL,0.1
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,AUG,0.11
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,SEP,0.29
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,OCT,3.23
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,NOV,10.81
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,DEC,12.39
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,JAN,10.04
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,FEB,6.73
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,MAR,4.55
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,APR,3.21
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,MAY,1.47
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,JUN,1.47
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,JUL,0.06
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,AUG,0.06
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,SEP,0.25
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,OCT,3.93
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,NOV,12.04
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,DEC,15.31
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,JAN,11.63
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,FEB,8.9
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,MAR,5.98
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,APR,3.77
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,MAY,1.99
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,JUN,1.67
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,JUL,0
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,AUG,0
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,SEP,0.39
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,OCT,1.2
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,NOV,10.82
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,DEC,12.36
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,JAN,5.87
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,FEB,3.59
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,MAR,2.73
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,APR,0.97
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,MAY,1.15
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,JUN,0
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,JUL,0
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,AUG,0
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,SEP,0
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,OCT,1
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,NOV,7.71
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,DEC,11.56
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,JAN,6.37
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,FEB,5.76
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,MAR,4.32
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,APR,2.42
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,MAY,0.55
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,JUN,0.28
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,JUL,0.03
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,AUG,0.01
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,SEP,0.06
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,OCT,2.48
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,NOV,8.98
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,DEC,10.91
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,JAN,7.01
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,FEB,3.25
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,MAR,3.32
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,APR,0.55
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,MAY,0.35
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,JUN,0
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,JUL,0
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,AUG,0
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,SEP,0
2002,FRBC1,FT BRAGG 5N,NORTHERN CALIFORNIA COASTAL,OCT,0.75
2002,FRBC1,FT BRAGG 5N,NORTHERN CALIFORNIA COASTAL,NOV,10.48
2002,FRBC1,FT BRAGG 5N,NORTHERN CALIFORNIA COASTAL,DEC,13.32
